,Mkt-RF,SMB,HML,RF
201211    ,1.32   ,-1.20    ,0.16    ,0.01
201212    ,2.30    ,1.19    ,3.55    ,0.01
201301    ,5.46    ,0.17    ,2.01    ,0.00
201302    ,0.09    ,0.35   ,-0.76    ,0.00
201303    ,2.29    ,0.85   ,-2.02    ,0.00
201304    ,3.02   ,-1.13    ,0.90    ,0.00
201305    ,0.56   ,-0.66    ,0.97    ,0.00
201306   ,-2.52    ,0.21   ,-0.06    ,0.00
201307    ,5.58    ,0.17    ,0.35    ,0.00
201308   ,-1.83    ,1.22   ,-0.66    ,0.00
201309    ,5.52    ,2.22   ,-0.54    ,0.00
201310    ,3.71   ,-1.75    ,1.97    ,0.00
201311    ,1.82   ,-0.17   ,-0.26    ,0.00
201312    ,2.18   ,-0.19   ,-0.19    ,0.00
201401   ,-3.29    ,2.93   ,-0.16    ,0.00
201402    ,5.06   ,-1.03    ,0.19    ,0.00
201403    ,0.14   ,-0.50    ,2.79    ,0.00
201404    ,0.55   ,-2.81    ,1.18    ,0.00
201405    ,1.75   ,-1.06   ,-0.47    ,0.00
201406    ,2.01    ,2.18   ,-0.20    ,0.00
201407   ,-2.05   ,-1.08    ,0.27    ,0.00
201408    ,1.93   ,-0.53   ,-0.77    ,0.00
201409   ,-3.09   ,-2.72   ,-0.75    ,0.00
201410    ,0.33   ,-0.35   ,-2.92    ,0.00
201411    ,1.65   ,-2.19   ,-2.10    ,0.00
201412   ,-1.44    ,1.67    ,0.06    ,0.00
201501   ,-1.74   ,-0.05   ,-2.38    ,0.00
201502    ,5.91   ,-0.39   ,-0.33    ,0.00
201503   ,-1.17    ,1.42   ,-0.78    ,0.00
201504    ,2.70    ,0.78    ,2.16    ,0.00
201505    ,0.50    ,1.22   ,-1.19    ,0.00
201506   ,-2.08    ,2.10   ,-0.63    ,0.00
201507    ,1.13   ,-3.09   ,-3.35    ,0.00
201508   ,-6.18    ,1.16    ,1.23    ,0.00
201509   ,-3.91   ,-0.25   ,-0.86    ,0.00
201510    ,7.32   ,-2.36    ,0.23    ,0.00
201511   ,-0.30    ,1.75   ,-1.91    ,0.00
201512   ,-1.73    ,0.99   ,-1.58    ,0.01
201601   ,-6.32   ,-2.16    ,0.83    ,0.01
201602   ,-0.50    ,0.86   ,-0.19    ,0.02
201603    ,6.92    ,1.33    ,0.48    ,0.02
201604    ,1.91    ,1.09    ,2.98    ,0.01
201605    ,0.45    ,0.04   ,-2.04    ,0.01
201606   ,-1.67   ,-0.48   ,-0.65    ,0.02
201607    ,4.48    ,1.25    ,0.39    ,0.02
201608    ,0.29    ,0.35    ,2.22    ,0.02
201609    ,0.90    ,2.28   ,-1.13    ,0.02
