201208    ,2.95   ,-0.77    ,0.90    ,0.01
201209    ,3.42    ,0.72    ,1.32    ,0.01
201210    ,0.77   ,-0.89    ,0.65    ,0.01
201211    ,1.79   ,-2.33    ,0.79    ,0.01
201212    ,3.29    ,0.48    ,3.65    ,0.01
201301    ,5.26    ,0.18    ,2.24    ,0.00
201302   ,-0.94    ,1.03   ,-1.06    ,0.00
201303    ,0.82    ,1.62   ,-3.03    ,0.00
201304    ,4.40   ,-1.15    ,1.62    ,0.00
201305   ,-1.49   ,-0.75    ,0.98    ,0.00
201306   ,-3.74    ,0.01   ,-0.19    ,0.00
201307    ,5.49   ,-0.51    ,0.81    ,0.00
201308   ,-1.04    ,1.53    ,0.35    ,0.00
201309    ,7.08    ,1.13    ,0.12    ,0.00
201310    ,3.30   ,-1.38    ,2.25    ,0.00
201311    ,0.62   ,-0.43   ,-0.14    ,0.00
201312    ,1.70    ,0.35   ,-0.49    ,0.00
201401   ,-3.19    ,4.03    ,1.27    ,0.00
201402    ,5.36   ,-1.90    ,0.26    ,0.00
201403   ,-0.25    ,0.40    ,1.16    ,0.00
201404    ,1.08   ,-2.00    ,0.71    ,0.00
201405    ,1.42   ,-0.59   ,-0.42    ,0.00
201406    ,1.48    ,2.00   ,-0.33    ,0.00
201407   ,-1.93    ,0.68    ,0.17    ,0.00
201408   ,-0.23    ,0.15   ,-0.15    ,0.00
201409   ,-4.10   ,-1.64   ,-0.04    ,0.00
201410   ,-1.80   ,-1.83   ,-2.33    ,0.00
201411    ,0.82   ,-1.87   ,-1.23    ,0.00
201412   ,-2.90    ,1.80   ,-0.65    ,0.00
201501   ,-0.27   ,-0.64   ,-1.02    ,0.00
201502    ,5.64   ,-1.41    ,0.68    ,0.00
201503   ,-1.28    ,0.84   ,-0.80    ,0.00
201504    ,4.90    ,2.46    ,0.79    ,0.00
201505   ,-0.42    ,1.98   ,-0.76    ,0.00
201506   ,-2.59    ,2.13    ,0.15    ,0.00
201507    ,0.77   ,-2.99   ,-3.25    ,0.00
201508   ,-6.34    ,1.87   ,-0.07    ,0.00
201509   ,-4.64    ,1.86   ,-2.03    ,0.00
201510    ,6.83   ,-2.66    ,0.97    ,0.00
201511   ,-1.31    ,1.27   ,-2.31    ,0.00
201512   ,-1.21    ,2.67   ,-1.27    ,0.01
201601   ,-6.75   ,-0.66   ,-1.52    ,0.01
201602   ,-1.08    ,1.66   ,-0.37    ,0.02
201603    ,7.01    ,1.69   ,-0.15    ,0.02
201604    ,3.24    ,0.48    ,2.99    ,0.01
201605   ,-0.92    ,0.43   ,-2.06    ,0.01
